E_eV,Sig_b
1e-05,125.992
1.03125e-05,124.071
1.0625e-05,122.236
1.09375e-05,120.48
1.125e-05,118.798
1.15625e-05,117.184
1.1875e-05,115.635
1.21875e-05,114.145
1.25e-05,112.712
1.28125e-05,111.332
1.3125e-05,110.001
1.34375e-05,108.717
1.375e-05,107.477
1.4375e-05,105.119
1.5e-05,102.911
1.5625e-05,100.837
1.625e-05,98.8831
1.6875e-05,97.0392
1.75e-05,95.2952
1.8125e-05,93.6422
1.875e-05,92.0726
1.9375e-05,90.5796
2e-05,89.1573
2.09375e-05,87.1446
2.1875e-05,85.2628
2.28125e-05,83.4983
2.375e-05,81.8395
2.46875e-05,80.2763
2.5625e-05,78.7997
2.65625e-05,77.4021
2.75e-05,76.0767
2.84375e-05,74.8174
2.9375e-05,73.619
3.03125e-05,72.4768
3.125e-05,71.3864
3.21875e-05,70.3441
3.3125e-05,69.3464
3.40625e-05,68.3902
3.5e-05,67.4728
3.59375e-05,66.5916
3.6875e-05,65.7443
3.78125e-05,64.9287
3.875e-05,64.143
3.96875e-05,63.3853
4.0625e-05,62.6541
4.25e-05,61.2651
4.4375e-05,59.9652
4.625e-05,58.7453
4.8125e-05,57.5977
5e-05,56.5153
5.15625e-05,55.6589
5.3125e-05,54.8407
5.46875e-05,54.0579
5.625e-05,53.308
5.78125e-05,52.5888
5.9375e-05,51.8983
6.09375e-05,51.2346
6.25e-05,50.596
6.40625e-05,49.9809
6.5625e-05,49.3881
6.71875e-05,48.8161
6.875e-05,48.2638
7.1875e-05,47.2138
7.5e-05,46.2304
7.8125e-05,45.3069
8.125e-05,44.4373
8.4375e-05,43.6167
8.75e-05,42.8406
9.0625e-05,42.1052
9.375e-05,41.407
9.6875e-05,40.743
0.0001,40.1106
0.000103125,39.5072
0.00010625,38.9308
0.000109375,38.3794
0.0001125,37.8512
0.000115625,37.3447
0.00011875,36.8585
0.000121875,36.3911
0.000125,35.9415
0.000128125,35.5086
0.00013125,35.0913
0.000134375,34.6887
0.0001375,34.3
0.00014375,33.5612
0.00015,32.8694
0.00015625,32.2198
0.0001625,31.6083
0.00016875,31.0313
0.000175,30.4857
0.00018125,29.9689
0.0001875,29.4783
0.00019375,29.0118
0.0002,28.5675
0.000209375,27.9391
0.00021875,27.3519
0.000228125,26.8016
0.0002375,26.2845
0.000246875,25.7975
0.00025625,25.3377
0.000265625,24.9027
0.000275,24.4904
0.000284375,24.0988
0.00029375,23.7264
0.000303125,23.3716
0.0003125,23.033
0.000321875,22.7096
0.00033125,22.4001
0.000340625,22.1037
0.00035,21.8194
0.000359375,21.5465
0.00036875,21.2842
0.000378125,21.0318
0.0003875,20.7887
0.000396875,20.5545
0.00040625,20.3285
0.000425,19.8995
0.00044375,19.4984
0.0004625,19.1224
0.00048125,18.7688
0.0005,18.4357
0.000515625,18.1723
0.00053125,17.9208
0.000546875,17.6804
0.0005625,17.4502
0.000578125,17.2296
0.00059375,17.0179
0.000609375,16.8146
0.000625,16.6191
0.000640625,16.4309
0.00065625,16.2496
0.000671875,16.0748
0.0006875,15.9061
0.00071875,15.5856
0.00075,15.2858
0.00078125,15.0046
0.0008125,14.7401
0.00084375,14.4907
0.000875,14.2551
0.00090625,14.0321
0.0009375,13.8205
0.00096875,13.6195
0.001,13.4282
0.00103125,13.2459
0.0010625,13.0718
0.00109375,12.9055
0.001125,12.7463
0.00115625,12.5937
0.0011875,12.4474
0.00121875,12.3068
0.00125,12.1717
0.00128125,12.0416
0.0013125,11.9164
0.00134375,11.7957
0.001375,11.6791
0.0014375,11.4579
0.0015,11.251
0.0015625,11.0569
0.001625,10.8744
0.0016875,10.7024
0.00175,10.5399
0.0018125,10.3861
0.001875,10.2402
0.0019375,10.1016
0.002,9.96973
0.00209375,9.78336
0.0021875,9.60938
0.00228125,9.4465
0.002375,9.29358
0.00246875,9.14965
0.0025625,9.01388
0.00265625,8.88553
0.00275,8.76394
0.00284375,8.64855
0.0029375,8.53885
0.00303125,8.43439
0.003125,8.33477
0.00321875,8.23962
0.0033125,8.14863
0.00340625,8.0615
0.0035,7.97796
0.00359375,7.89779
0.0036875,7.82075
0.00378125,7.74665
0.003875,7.67531
0.00396875,7.60657
0.0040625,7.54026
0.00425,7.41442
0.0044375,7.29678
0.004625,7.18651
0.0048125,7.08286
0.005,6.9852
0.00515625,6.90798
0.0053125,6.83426
0.00546875,6.76378
0.005625,6.6963
0.00578125,6.63162
0.0059375,6.56956
0.00609375,6.50993
0.00625,6.45259
0.00640625,6.39739
0.0065625,6.34421
0.00671875,6.29292
0.006875,6.24342
0.0071875,6.14937
0.0075,6.06135
0.0078125,5.97874
0.008125,5.901
0.0084375,5.82769
0.00875,5.7584
0.0090625,5.69276
0.009375,5.63048
0.0096875,5.57128
0.01,5.51491
0.0103125,5.46115
0.010625,5.40981
0.0109375,5.36071
0.01125,5.3137
0.0115625,5.26863
0.011875,5.22537
0.0121875,5.18381
0.0125,5.14383
0.0128125,5.10534
0.013125,5.06824
0.0134375,5.03247
0.01375,4.99793
0.014375,4.9323
0.015,4.87086
0.015625,4.81317
0.01625,4.75888
0.016875,4.70767
0.0175,4.65925
0.018125,4.61337
0.01875,4.56983
0.019375,4.52844
0.02,4.48901
0.0206625,4.44921
0.021325,4.41129
0.0219875,4.37512
0.02265,4.34055
0.0233125,4.30749
0.023975,4.27581
0.0246375,4.24543
0.0253,4.21626
0.0264578,4.16796
0.0276156,4.12275
0.0287734,4.08033
0.0299312,4.0404
0.0310891,4.00274
0.0322469,3.96715
0.0334047,3.93343
0.0345625,3.90143
0.0355273,3.87597
0.0364922,3.85154
0.037457,3.82806
0.0384219,3.80548
0.0393867,3.78373
0.0403516,3.76278
0.0413164,3.74256
0.0422812,3.72305
0.0442109,3.68596
0.0461406,3.65124
0.0480703,3.61864
0.05,3.58796
0.0515625,3.5644
0.053125,3.54189
0.0546875,3.52035
0.05625,3.49973
0.0578125,3.47995
0.059375,3.46096
0.0609375,3.44271
0.0625,3.42516
0.0640625,3.40825
0.065625,3.39195
0.0671875,3.37623
0.06875,3.36105
0.071875,3.33219
0.075,3.30516
0.078125,3.27977
0.08125,3.25587
0.084375,3.2333
0.0875,3.21196
0.090625,3.19173
0.09375,3.17253
0.096875,3.15427
0.1,3.13687
0.103125,3.12027
0.10625,3.10441
0.109375,3.08924
0.1125,3.0747
0.115625,3.06077
0.11875,3.04738
0.121875,3.03452
0.125,3.02215
0.128125,3.01023
0.13125,2.99874
0.134375,2.98766
0.1375,2.97695
0.14375,2.9566
0.15,2.93754
0.15625,2.91962
0.1625,2.90275
0.16875,2.88682
0.175,2.87176
0.18125,2.85748
0.1875,2.84392
0.19375,2.83103
0.2,2.81874
0.209375,2.80136
0.21875,2.78509
0.228125,2.76984
0.2375,2.75549
0.246875,2.74197
0.25625,2.72919
0.265625,2.7171
0.275,2.70562
0.284375,2.69472
0.29375,2.68434
0.303125,2.67445
0.3125,2.665
0.321875,2.65596
0.33125,2.64731
0.340625,2.63902
0.35,2.63106
0.359375,2.62341
0.36875,2.61606
0.378125,2.60898
0.3875,2.60216
0.396875,2.59558
0.40625,2.58923
0.425,2.57716
0.44375,2.56585
0.4625,2.55522
0.5,2.53579
0.53125,2.52118
0.5625,2.50777
0.59375,2.49541
0.625,2.48397
0.6875,2.46344
0.75,2.44549
0.8125,2.4296
0.875,2.41545
0.9375,2.40269
1,2.39107
1.0625,2.38045
1.125,2.3707
1.1875,2.3617
1.25,2.35335
1.375,2.33831
1.5,2.32509
1.625,2.31334
1.75,2.30281
1.875,2.29326
2,2.28452
2.1875,2.27271
2.375,2.2622
2.5625,2.25273
2.75,2.24415
2.9375,2.23628
3.125,2.22901
3.3125,2.22227
3.5,2.21599
3.875,2.20457
4.25,2.19438
4.625,2.18519
5,2.1768
5.3125,2.17032
5.625,2.16422
5.9375,2.15847
6.25,2.15302
6.875,2.14288
7.5,2.13358
8.125,2.12497
8.75,2.11693
9.375,2.10936
10,2.10218
10.625,2.09535
11.25,2.08882
11.875,2.08255
12.5,2.07652
13.75,2.06504
15,2.05424
16.25,2.044
17.5,2.03423
18.75,2.02486
20,2.01584
21.875,2.00288
23.75,1.99052
25.625,1.97866
27.5,1.96726
29.375,1.95624
31.25,1.94559
33.125,1.93525
35,1.92521
36.875,1.91545
38.75,1.90594
40.625,1.89667
42.5,1.88762
46.25,1.87014
50,1.85342
53.125,1.84001
56.25,1.82704
59.375,1.81449
62.5,1.80232
65.625,1.79052
68.75,1.77907
71.875,1.76793
75,1.75711
81.25,1.73634
87.5,1.71664
93.75,1.69792
100,1.6801
106.25,1.66311
112.5,1.64689
118.75,1.63139
125,1.61654
131.25,1.60232
137.5,1.58868
143.75,1.57559
150,1.563
156.25,1.55089
162.5,1.53924
175,1.51718
187.5,1.49664
200,1.47747
209.375,1.4639
218.75,1.45097
228.125,1.43863
237.5,1.42684
246.875,1.41556
256.25,1.40477
275,1.38449
293.75,1.36578
312.5,1.34847
331.25,1.33238
350,1.3174
368.75,1.3034
387.5,1.29028
406.25,1.27796
425,1.26635
443.75,1.2554
462.5,1.24504
500,1.22592
531.25,1.2114
562.5,1.19798
593.75,1.18554
625,1.17396
656.25,1.16314
687.5,1.153
718.75,1.14346
750,1.13447
781.25,1.12597
812.5,1.11792
843.75,1.11027
875,1.10299
921.875,1.09271
945.312,1.08784
968.75,1.08313
984.375,1.08009
1000,1.07713
1013.92,1.07458
1027.85,1.07211
1034.81,1.07092
1041.77,1.06977
1048.73,1.06867
1055.7,1.06764
1061.79,1.06684
1064.83,1.06649
1067.88,1.06617
1070.93,1.06591
1073.97,1.06573
1077.02,1.06564
1080.06,1.06569
1082.02,1.06581
1083.98,1.06605
1085.94,1.06642
1087.9,1.06699
1089.85,1.06781
1091.81,1.06899
1092.79,1.06976
1093.77,1.0707
1094.75,1.07185
1095.73,1.07325
1096.65,1.07488
1097.58,1.07688
1098.5,1.07937
1099.43,1.08251
1099.89,1.08439
1100.35,1.08652
1100.81,1.08895
1101.28,1.09175
1101.74,1.095
1102.2,1.09878
1102.66,1.10322
1103.12,1.10849
1103.53,1.114
1103.94,1.12054
1104.35,1.12836
1104.76,1.13788
1104.96,1.14343
1105.16,1.14963
1105.37,1.15659
1105.57,1.16447
1105.78,1.17345
1105.98,1.18379
1106.18,1.19584
1106.39,1.21008
1106.51,1.21941
1106.62,1.22983
1106.74,1.24156
1106.85,1.2547
1106.97,1.26981
1107.08,1.287
1107.2,1.30701
1107.31,1.33007
1107.43,1.35725
1107.54,1.38887
1107.66,1.42647
1107.78,1.47053
1107.83,1.49572
1107.89,1.52315
1107.95,1.55301
1108.01,1.58495
1108.07,1.6203
1108.12,1.65877
1108.18,1.70063
1108.24,1.74533
1108.31,1.80726
1108.38,1.87482
1108.45,1.95052
1108.52,2.03287
1108.6,2.12482
1108.67,2.22445
1108.74,2.33363
1108.81,2.45301
1108.88,2.58512
1108.95,2.72693
1109.02,2.88304
1109.1,3.04966
1109.17,3.23201
1109.24,3.42546
1109.31,3.63279
1109.38,3.85427
1109.46,4.10377
1109.53,4.36926
1109.61,4.65062
1109.68,4.94348
1109.75,5.25523
1109.83,5.5813
1109.9,5.92075
1109.98,6.26764
1110.09,6.83202
1110.21,7.41083
1110.44,8.6006
1110.59,9.36449
1110.74,10.0903
1110.89,10.7643
1110.96,11.0725
1111.04,11.3541
1111.12,11.6371
1111.2,11.8862
1111.28,12.0819
1111.35,12.2431
1111.45,12.4116
1111.56,12.5116
1111.65,12.5433
1111.66,12.543
1111.69,12.539
1111.72,12.5305
1111.77,12.5009
1111.87,12.3893
1111.95,12.2579
1112.03,12.0883
1112.1,11.8938
1112.18,11.6685
1112.29,11.2684
1112.41,10.8103
1112.56,10.1466
1112.71,9.42508
1113,7.90058
1113.15,7.14035
1113.3,6.40587
1113.38,6.05057
1113.45,5.71146
1113.53,5.38062
1113.6,5.06786
1113.65,4.84866
1113.74,4.53092
1113.82,4.23543
1113.9,3.95519
1113.98,3.69708
1114.04,3.53234
1114.09,3.37877
1114.14,3.23316
1114.2,3.09535
1114.27,2.91654
1114.35,2.75396
1114.38,2.67562
1114.42,2.60259
1114.5,2.46579
1114.57,2.33915
1114.64,2.22533
1114.72,2.12051
1114.79,2.02675
1114.87,1.94078
1114.94,1.8642
1115.02,1.79424
1115.09,1.73211
1115.17,1.67551
1115.24,1.62536
1115.32,1.57975
1115.39,1.53938
1115.46,1.50595
1115.53,1.47569
1115.59,1.44828
1115.66,1.42344
1115.73,1.40093
1115.8,1.38049
1115.93,1.34526
1116.07,1.31576
1116.2,1.29126
1116.34,1.27043
1116.47,1.25282
1116.61,1.23758
1116.74,1.22445
1116.88,1.21287
1117.02,1.20272
1117.15,1.19361
1117.29,1.18551
1117.56,1.1715
1117.83,1.15985
1118.1,1.15001
1118.37,1.14157
1118.64,1.13427
1118.91,1.12789
1119.18,1.12228
1119.46,1.11731
1119.73,1.11288
1120.27,1.10535
1120.81,1.09922
1121.35,1.09414
1121.89,1.08989
1122.46,1.08611
1123.03,1.08291
1123.6,1.08016
1124.17,1.07777
1124.74,1.07568
1125.31,1.07385
1126.45,1.07078
1127.59,1.06831
1128.72,1.0663
1129.86,1.06463
1131,1.06322
1132.63,1.06154
1134.25,1.06016
1135.88,1.05899
1137.51,1.05799
1139.13,1.05711
1140.76,1.05634
1144.01,1.05503
1147.26,1.05392
1150.51,1.05294
1153.77,1.05207
1157.02,1.05128
1160.49,1.0505
1167.86,1.04897
1175.23,1.04756
1182.6,1.04624
1189.97,1.04498
1197.35,1.04376
1204.72,1.04256
1219.46,1.04024
1234.2,1.03798
1248.95,1.03578
1263.69,1.03362
1278.44,1.0315
1306.19,1.0276
1333.94,1.0238
1389.44,1.01651
1444.95,1.00955
1500.45,1.00289
1625.34,0.988877
1750.23,0.975954
1875.11,0.963928
2000,0.952653
2189.85,0.936737
2379.7,0.921941
2569.56,0.908058
2664.48,0.901404
2759.41,0.894919
2839.35,0.889581
2919.28,0.884351
2979.24,0.88051
3039.19,0.876745
3069.16,0.874916
3099.14,0.873124
3129.12,0.871427
3144.11,0.870629
3159.09,0.869882
3169.09,0.869436
3179.08,0.869048
3189.07,0.868745
3199.06,0.86857
3205.31,0.868568
3211.55,0.868643
3217.8,0.868892
3224.04,0.869372
3230.29,0.870209
3233.41,0.870825
3236.53,0.871625
3239.66,0.872642
3242.78,0.874001
3245.9,0.875837
3249.02,0.878346
3251.05,0.880484
3253.08,0.883163
3255.11,0.886584
3257.14,0.891067
3258.16,0.893847
3259.17,0.897088
3260.19,0.900893
3261.2,0.905394
3262.22,0.910781
3263.23,0.917292
3264.25,0.925272
3265.26,0.935203
3266.04,0.944637
3266.82,0.956141
3267.6,0.970404
3267.99,0.978861
3268.38,0.988431
3268.77,0.999371
3269.16,1.01192
3269.55,1.02652
3269.94,1.04374
3270.34,1.06446
3270.72,1.08979
3271.11,1.1216
3271.31,1.14074
3271.51,1.16263
3271.7,1.18795
3271.9,1.21714
3272.09,1.25114
3272.29,1.29095
3272.48,1.33801
3272.68,1.39326
3272.87,1.45856
3273.07,1.53585
3273.26,1.62782
3273.36,1.67996
3273.46,1.73606
3273.56,1.79763
3273.65,1.86379
3273.75,1.9363
3273.85,2.0141
3273.95,2.09921
3274.04,2.19033
3274.14,2.28979
3274.24,2.39602
3274.34,2.51169
3274.43,2.63488
3274.53,2.76862
3274.63,2.91063
3274.74,3.08058
3274.84,3.26181
3274.95,3.45828
3275.06,3.66686
3275.17,3.89195
3275.27,4.12979
3275.38,4.38274
3275.49,4.65107
3275.6,4.9377
3275.7,5.23741
3275.81,5.55277
3275.92,5.88362
3276.02,6.23303
3276.13,6.59411
3276.24,6.96949
3276.34,7.35849
3276.56,8.17771
3276.78,9.03959
3277.2,10.8394
3277.54,12.2429
3277.7,12.9256
3277.87,13.5836
3278.08,14.3846
3278.3,15.1066
3278.5,15.7107
3278.71,16.2145
3278.81,16.4334
3278.92,16.62
3279.08,16.8381
3279.24,16.9758
3279.43,17.0318
3279.45,17.0315
3279.49,17.0264
3279.53,17.0158
3279.62,16.9771
3279.79,16.8317
3279.93,16.6361
3280.08,16.3797
3280.22,16.0648
3280.37,15.6981
3280.51,15.2789
3280.66,14.8181
3280.8,14.3148
3280.95,13.7816
3281.23,12.6389
3281.97,9.54399
3282.26,8.36818
3282.4,7.80402
3282.55,7.2649
3282.69,6.74575
3282.84,6.25565
3282.98,5.79232
3283.12,5.3567
3283.26,4.96568
3283.4,4.60067
3283.54,4.26145
3283.68,3.94758
3283.81,3.65836
3283.95,3.39292
3284.09,3.15023
3284.23,2.93069
3284.37,2.72986
3284.5,2.54813
3284.64,2.38419
3284.78,2.23774
3284.92,2.10533
3285.05,1.9868
3285.19,1.88094
3285.33,1.7872
3285.46,1.70655
3285.59,1.635
3285.72,1.57104
3285.85,1.51391
3285.99,1.46252
3286.12,1.41698
3286.25,1.3763
3286.38,1.33991
3286.51,1.30711
3286.64,1.27795
3286.9,1.2282
3287.17,1.18763
3287.43,1.15445
3287.69,1.12679
3287.95,1.10364
3288.22,1.08387
3288.48,1.0669
3288.74,1.05208
3289,1.03909
3289.53,1.01723
3290.08,0.998708
3290.63,0.983546
3291.18,0.970885
3291.73,0.960165
3292.29,0.950971
3292.84,0.943039
3293.39,0.936128
3293.94,0.930065
3295.04,0.919952
3296.14,0.911918
3297.25,0.905417
3298.35,0.900074
3299.61,0.895043
3300.87,0.890889
3302.13,0.887411
3303.39,0.884469
3305.28,0.880837
3307.17,0.877919
3309.06,0.875542
3310.95,0.873577
3312.84,0.871914
3314.73,0.870486
3318.51,0.86818
3322.29,0.866405
3326.07,0.864995
3329.85,0.863843
3333.62,0.862887
3340.34,0.861502
3347.06,0.860385
3353.78,0.859453
3360.5,0.858651
3370.58,0.857613
3380.66,0.856685
3390.74,0.855835
3400.82,0.855045
3414.26,0.854057
3442.81,0.852096
3471.37,0.85024
3499.93,0.848441
3528.48,0.846677
3585.6,0.843213
3642.71,0.839795
3699.82,0.836409
3756.94,0.833048
3871.17,0.826376
4012.27,0.818201
4153.37,0.810063
4435.58,0.793809
4717.79,0.777421
5000,0.760716
5374.8,0.737638
5749.6,0.713014
6124.4,0.686089
6499.2,0.655811
