E_eV,Sig_b
1e-05,451.404
1.03125e-05,444.518
1.0625e-05,437.938
1.09375e-05,431.643
1.125e-05,425.612
1.15625e-05,419.827
1.1875e-05,414.272
1.21875e-05,408.932
1.25e-05,403.794
1.28125e-05,398.845
1.3125e-05,394.073
1.34375e-05,389.47
1.375e-05,385.024
1.4375e-05,376.572
1.5e-05,368.653
1.5625e-05,361.215
1.625e-05,354.211
1.6875e-05,347.599
1.75e-05,341.345
1.8125e-05,335.418
1.875e-05,329.79
1.9375e-05,324.436
2e-05,319.335
2.09375e-05,312.118
2.1875e-05,305.369
2.28125e-05,299.041
2.375e-05,293.092
2.46875e-05,287.485
2.5625e-05,282.189
2.65625e-05,277.177
2.75e-05,272.423
2.84375e-05,267.906
2.9375e-05,263.607
3.03125e-05,259.51
3.125e-05,255.598
3.21875e-05,251.859
3.3125e-05,248.28
3.40625e-05,244.85
3.5e-05,241.558
3.59375e-05,238.397
3.6875e-05,235.357
3.78125e-05,232.431
3.875e-05,229.611
3.96875e-05,226.893
4.0625e-05,224.269
4.25e-05,219.285
4.4375e-05,214.62
4.625e-05,210.242
4.8125e-05,206.123
5e-05,202.238
5.15625e-05,199.164
5.3125e-05,196.227
5.46875e-05,193.417
5.625e-05,190.725
5.78125e-05,188.143
5.9375e-05,185.664
6.09375e-05,183.281
6.25e-05,180.988
6.40625e-05,178.78
6.5625e-05,176.651
6.71875e-05,174.597
6.875e-05,172.613
7.1875e-05,168.843
7.5e-05,165.311
7.8125e-05,161.993
8.125e-05,158.869
8.4375e-05,155.921
8.75e-05,153.132
9.0625e-05,150.49
9.375e-05,147.981
9.6875e-05,145.594
0.0001,143.321
0.000103125,141.152
0.00010625,139.08
0.000109375,137.097
0.0001125,135.198
0.000115625,133.377
0.00011875,131.628
0.000121875,129.947
0.000125,128.33
0.000128125,126.772
0.00013125,125.271
0.000134375,123.823
0.0001375,122.424
0.00014375,119.765
0.00015,117.275
0.00015625,114.936
0.0001625,112.735
0.00016875,110.657
0.000175,108.692
0.00018125,106.83
0.0001875,105.062
0.00019375,103.381
0.0002,101.779
0.000209375,99.5138
0.00021875,97.3963
0.000228125,95.4113
0.0002375,93.5457
0.000246875,91.788
0.00025625,90.1282
0.000265625,88.5575
0.000275,87.0684
0.000284375,85.654
0.00029375,84.3083
0.000303125,83.0259
0.0003125,81.802
0.000321875,80.6323
0.00033125,79.513
0.000340625,78.4406
0.00035,77.4119
0.000359375,76.424
0.00036875,75.4742
0.000378125,74.5603
0.0003875,73.68
0.000396875,72.8313
0.00040625,72.0125
0.000425,70.4574
0.00044375,69.0027
0.0004625,67.6382
0.00048125,66.3549
0.0005,65.1451
0.000515625,64.1882
0.00053125,63.2742
0.000546875,62.4001
0.0005625,61.563
0.000578125,60.7603
0.00059375,59.9899
0.000609375,59.2496
0.000625,58.5375
0.000640625,57.8518
0.00065625,57.1911
0.000671875,56.5537
0.0006875,55.9385
0.00071875,54.7693
0.00075,53.6748
0.00078125,52.6473
0.0008125,51.6803
0.00084375,50.7681
0.000875,49.9057
0.00090625,49.0889
0.0009375,48.3137
0.00096875,47.5767
0.001,46.8749
0.00103125,46.2057
0.0010625,45.5665
0.00109375,44.9552
0.001125,44.3699
0.00115625,43.8087
0.0011875,43.2701
0.00121875,42.7526
0.00125,42.2549
0.00128125,41.7756
0.0013125,41.3138
0.00134375,40.8684
0.001375,40.4384
0.0014375,39.6214
0.0015,38.8566
0.0015625,38.1386
0.001625,37.463
0.0016875,36.8256
0.00175,36.2231
0.0018125,35.6524
0.001875,35.1108
0.0019375,34.5958
0.002,34.1055
0.00209375,33.412
0.0021875,32.7641
0.00228125,32.157
0.002375,31.5865
0.00246875,31.0492
0.0025625,30.5419
0.00265625,30.062
0.00275,29.6071
0.00284375,29.1751
0.0029375,28.7641
0.00303125,28.3725
0.003125,27.9989
0.00321875,27.6418
0.0033125,27.3002
0.00340625,26.9729
0.0035,26.6589
0.00359375,26.3574
0.0036875,26.0676
0.00378125,25.7887
0.003875,25.5201
0.00396875,25.2611
0.0040625,25.0112
0.00425,24.5367
0.0044375,24.0928
0.004625,23.6764
0.0048125,23.2848
0.005,22.9156
0.00515625,22.6235
0.0053125,22.3445
0.00546875,22.0777
0.005625,21.8221
0.00578125,21.577
0.0059375,21.3417
0.00609375,21.1156
0.00625,20.8981
0.00640625,20.6886
0.0065625,20.4868
0.00671875,20.292
0.006875,20.104
0.0071875,19.7466
0.0075,19.4119
0.0078125,19.0976
0.008125,18.8017
0.0084375,18.5226
0.00875,18.2586
0.0090625,18.0084
0.009375,17.771
0.0096875,17.5452
0.01,17.3301
0.0103125,17.1249
0.010625,16.9289
0.0109375,16.7414
0.01125,16.5617
0.0115625,16.3895
0.011875,16.2241
0.0121875,16.0652
0.0125,15.9123
0.0128125,15.7651
0.013125,15.6231
0.0134375,15.4862
0.01375,15.354
0.014375,15.1027
0.015,14.8673
0.015625,14.6463
0.01625,14.4381
0.016875,14.2417
0.0175,14.056
0.018125,13.88
0.01875,13.7128
0.019375,13.5539
0.02,13.4025
0.0206625,13.2496
0.021325,13.104
0.0219875,12.9649
0.02265,12.8321
0.0233125,12.7049
0.023975,12.5831
0.0246375,12.4663
0.0253,12.3541
0.0264578,12.1683
0.0276156,11.9943
0.0287734,11.831
0.0299312,11.6773
0.0310891,11.5323
0.0322469,11.3951
0.0334047,11.2652
0.0345625,11.1419
0.0355273,11.0438
0.0364922,10.9496
0.037457,10.8591
0.0384219,10.7721
0.0393867,10.6882
0.0403516,10.6074
0.0413164,10.5294
0.0422812,10.4541
0.0442109,10.3111
0.0461406,10.1771
0.0480703,10.0512
0.05,9.93281
0.0515625,9.84183
0.053125,9.7549
0.0546875,9.67174
0.05625,9.59209
0.0578125,9.51569
0.059375,9.44234
0.0609375,9.37185
0.0625,9.30402
0.0640625,9.2387
0.065625,9.17573
0.0671875,9.11498
0.06875,9.05632
0.071875,8.94479
0.075,8.84031
0.078125,8.74216
0.08125,8.64973
0.084375,8.56248
0.0875,8.47996
0.090625,8.40174
0.09375,8.32748
0.096875,8.25684
0.1,8.18956
0.103125,8.12535
0.10625,8.06401
0.109375,8.00533
0.1125,7.94911
0.115625,7.89519
