E_eV,Sig_b
1e-05,36.7039
1.03125e-05,36.1574
1.0625e-05,35.6354
1.09375e-05,35.1362
1.125e-05,34.6581
1.15625e-05,34.1997
1.1875e-05,33.7597
1.21875e-05,33.3368
1.25e-05,32.9301
1.28125e-05,32.5385
1.3125e-05,32.1611
1.34375e-05,31.7971
1.375e-05,31.4458
1.4375e-05,30.7781
1.5e-05,30.1531
1.5625e-05,29.5664
1.625e-05,29.0143
1.6875e-05,28.4936
1.75e-05,28.0014
1.8125e-05,27.5353
1.875e-05,27.093
1.9375e-05,26.6726
2e-05,26.2723
2.09375e-05,25.7065
2.1875e-05,25.178
2.28125e-05,24.683
2.375e-05,24.2182
2.46875e-05,23.7805
2.5625e-05,23.3676
2.65625e-05,22.9772
2.75e-05,22.6074
2.84375e-05,22.2564
2.9375e-05,21.9227
3.03125e-05,21.605
3.125e-05,21.302
3.21875e-05,21.0127
3.3125e-05,20.736
3.40625e-05,20.4712
3.5e-05,20.2174
3.59375e-05,19.9738
3.6875e-05,19.7398
3.78125e-05,19.5149
3.875e-05,19.2984
3.96875e-05,19.0899
4.0625e-05,18.8888
4.25e-05,18.5074
4.4375e-05,18.1513
4.625e-05,17.8178
4.8125e-05,17.5047
5e-05,17.21
5.15625e-05,16.9773
5.3125e-05,16.7553
5.46875e-05,16.5433
5.625e-05,16.3405
5.78125e-05,16.1464
5.9375e-05,15.9603
6.09375e-05,15.7818
6.25e-05,15.6103
6.40625e-05,15.4454
6.5625e-05,15.2867
6.71875e-05,15.1338
6.875e-05,14.9865
7.1875e-05,14.7071
7.5e-05,14.4463
7.8125e-05,14.2021
8.125e-05,13.973
8.4375e-05,13.7574
8.75e-05,13.5542
9.0625e-05,13.3623
9.375e-05,13.1807
9.6875e-05,13.0085
0.0001,12.845
0.000103125,12.6896
0.00010625,12.5415
0.000109375,12.4003
0.0001125,12.2655
0.000115625,12.1366
0.00011875,12.0132
0.000121875,11.895
0.000125,11.7817
0.000128125,11.6728
0.00013125,11.5682
0.000134375,11.4676
0.0001375,11.3708
0.00014375,11.1875
0.00015,11.0169
0.00015625,10.8576
0.0001625,10.7086
0.00016875,10.5687
0.000175,10.4372
0.00018125,10.3133
0.0001875,10.1964
0.00019375,10.0858
0.0002,9.98106
0.000209375,9.83387
0.00021875,9.69742
0.000228125,9.57053
0.0002375,9.45222
0.000246875,9.34161
0.00025625,9.23797
0.000265625,9.14063
0.000275,9.04903
0.000284375,8.96266
0.00029375,8.88108
0.000303125,8.80389
0.0003125,8.73074
0.000321875,8.66132
0.00033125,8.59533
0.000340625,8.53253
0.00035,8.47269
0.000359375,8.4156
0.00036875,8.36106
0.000378125,8.30892
0.0003875,8.259
0.000396875,8.21118
0.00040625,8.16531
0.000425,8.07897
0.00044375,7.99915
0.0004625,7.92511
0.00048125,7.85625
0.0005,7.79201
0.000515625,7.74169
0.00053125,7.69403
0.000546875,7.64882
0.0005625,7.60588
0.000578125,7.56503
0.00059375,7.52612
0.000609375,7.48901
0.000625,7.45358
0.000640625,7.41972
0.00065625,7.38731
0.000671875,7.35627
0.0006875,7.3265
0.00071875,7.27049
0.00075,7.21873
0.00078125,7.17072
0.0008125,7.12607
0.00084375,7.08443
0.000875,7.04548
0.00090625,7.00898
0.0009375,6.97469
0.00096875,6.9424
0.001,6.91194
0.00103125,6.88316
0.0010625,6.85591
0.00109375,6.83007
0.001125,6.80553
0.00115625,6.78219
0.0011875,6.75996
0.00121875,6.73876
0.00125,6.71852
0.00128125,6.69917
0.0013125,6.68065
0.00134375,6.6629
0.001375,6.64588
0.0014375,6.61384
0.0015,6.5842
0.0015625,6.5567
0.001625,6.53109
0.0016875,6.50718
0.00175,6.4848
0.0018125,6.46381
0.001875,6.44406
0.0019375,6.42544
0.002,6.40787
0.00209375,6.38326
0.0021875,6.36052
0.00228125,6.33944
0.002375,6.31984
0.00246875,6.30156
0.0025625,6.28446
0.00265625,6.26842
0.00275,6.25335
0.00284375,6.23915
0.0029375,6.22575
0.00303125,6.21308
0.003125,6.20108
0.00321875,6.18968
0.0033125,6.17885
0.00340625,6.16855
0.0035,6.15872
0.00359375,6.14934
0.0036875,6.14038
0.00378125,6.1318
0.003875,6.12359
0.00396875,6.11571
0.0040625,6.10814
0.00425,6.09389
0.0044375,6.08068
0.004625,6.0684
0.0048125,6.05694
0.005,6.04623
0.00515625,6.03782
0.0053125,6.02983
0.00546875,6.02223
0.005625,6.015
0.00578125,6.0081
0.0059375,6.00152
0.00609375,5.99522
0.00625,5.98919
0.00640625,5.98341
0.0065625,5.97787
0.00671875,5.97255
0.006875,5.96743
0.0071875,5.95777
0.0075,5.94879
0.0078125,5.94043
0.008125,5.93261
0.0084375,5.92528
0.00875,5.9184
0.0090625,5.91191
0.009375,5.9058
0.0096875,5.90001
0.01,5.89453
0.0103125,5.88933
0.010625,5.88439
0.0109375,5.87968
0.01125,5.87519
0.0115625,5.87091
0.011875,5.86682
0.0121875,5.8629
0.0125,5.85914
0.0128125,5.85554
0.013125,5.85208
0.0134375,5.84875
0.01375,5.84555
0.014375,5.8395
0.015,5.83387
0.015625,5.82861
0.01625,5.82369
0.016875,5.81907
0.0175,5.81473
0.018125,5.81063
0.01875,5.80676
0.019375,5.80309
0.02,5.79961
0.0206625,5.79611
0.021325,5.79279
0.0219875,5.78964
0.02265,5.78664
0.0233125,5.78377
0.023975,5.78104
0.0246375,5.77843
0.0253,5.77593
0.0264578,5.7718
0.0276156,5.76796
0.0287734,5.76437
0.0299312,5.76101
0.0310891,5.75785
0.0322469,5.75487
0.0334047,5.75207
0.0345625,5.74941
0.0355273,5.74731
0.0364922,5.74529
0.037457,5.74336
0.0384219,5.74151
0.0393867,5.73972
0.0403516,5.73801
0.0413164,5.73637
0.0422812,5.73478
0.0442109,5.73177
0.0461406,5.72897
0.0480703,5.72634
0.05,5.72388
0.0515625,5.722
0.053125,5.7202
0.0546875,5.71849
0.05625,5.71685
0.0578125,5.71529
0.059375,5.71378
0.0609375,5.71235
0.0625,5.71096
0.0640625,5.70963
0.065625,5.70836
0.0671875,5.70713
0.06875,5.70594
0.071875,5.70369
0.075,5.70159
0.078125,5.69962
0.08125,5.69777
0.084375,5.69603
0.0875,5.69439
0.090625,5.69284
0.09375,5.69137
0.096875,5.68997
0.1,5.68864
0.103125,5.68738
0.10625,5.68617
0.109375,5.68502
0.1125,5.68391
0.115625,5.68286
0.11875,5.68185
0.121875,5.68087
0.125,5.67994
0.128125,5.67904
0.13125,5.67817
0.134375,5.67734
0.1375,5.67654
0.14375,5.67501
0.15,5.67358
0.15625,5.67224
0.1625,5.67098
0.16875,5.66979
0.175,5.66866
0.18125,5.6676
0.1875,5.66659
0.19375,5.66563
0.2,5.66472
0.209375,5.66343
0.21875,5.66222
0.228125,5.66108
0.2375,5.66002
0.246875,5.65901
0.25625,5.65806
0.265625,5.65717
0.275,5.65631
0.284375,5.6555
0.29375,5.65473
0.303125,5.65399
0.3125,5.65329
0.321875,5.65262
0.33125,5.65197
0.340625,5.65135
0.35,5.65076
0.359375,5.65019
0.36875,5.64964
0.378125,5.64911
0.3875,5.64859
0.396875,5.6481
0.40625,5.64762
0.425,5.64671
0.44375,5.64585
0.4625,5.64505
0.5,5.64357
0.53125,5.64245
0.5625,5.64141
0.59375,5.64045
0.625,5.63955
0.6875,5.63793
0.75,5.63649
0.8125,5.63519
0.875,5.63402
0.9375,5.63294
1,5.63194
1.0625,5.63102
1.125,5.63015
1.1875,5.62934
1.25,5.62857
1.375,5.62715
1.5,5.62585
1.625,5.62466
1.75,5.62355
1.875,5.62251
2,5.62152
2.1875,5.62014
2.375,5.61884
2.5625,5.61761
2.75,5.61645
2.9375,5.61533
3.125,5.61426
3.3125,5.61322
3.5,5.61222
3.6875,5.61124
3.875,5.61029
4.25,5.60845
4.625,5.60668
5,5.60496
5.3125,5.60357
5.625,5.60221
5.9375,5.60087
6.25,5.59955
6.875,5.59698
7.5,5.59447
8.125,5.59202
8.75,5.58961
9.375,5.58724
10,5.58491
10.625,5.58261
11.25,5.58033
11.875,5.57809
12.5,5.57586
13.75,5.57148
15,5.56718
16.25,5.56294
17.5,5.55877
18.75,5.55465
20,5.55059
21.875,5.54459
23.75,5.5387
25.625,5.5329
27.5,5.5272
29.375,5.52159
31.25,5.51606
33.125,5.51062
35,5.50525
36.875,5.49996
38.75,5.49474
40.625,5.48959
42.5,5.48452
44.375,5.47951
46.25,5.47457
48.125,5.46969
50,5.46488
52.1602,5.45941
54.3204,5.45403
56.4806,5.44873
57.5607,5.44611
58.6407,5.44352
59.4508,5.4416
60.2609,5.43969
61.071,5.4378
61.881,5.43595
62.6911,5.43414
63.0962,5.43326
63.5012,5.43241
63.9062,5.4316
64.3113,5.43084
64.5138,5.4305
64.7163,5.43018
64.9188,5.42992
65.1213,5.42971
65.2816,5.42961
65.442,5.42957
65.6023,5.42964
65.7626,5.42987
65.923,5.43032
66.0031,5.43067
66.0833,5.43114
66.1635,5.43176
66.2436,5.43259
66.3238,5.43372
66.4039,5.43528
66.463,5.43683
66.5221,5.4389
66.5516,5.44021
66.5812,5.44178
66.6107,5.44368
66.6402,5.44605
66.6698,5.44904
66.6993,5.45291
66.7288,5.45802
66.7436,5.46119
66.7583,5.46487
66.7731,5.46915
66.7879,5.47414
66.8026,5.47996
66.8174,5.48673
66.8322,5.49464
66.8469,5.50382
66.8617,5.51448
66.8765,5.5268
66.8891,5.53886
66.9018,5.55244
66.9144,5.56767
66.9271,5.58469
66.9398,5.60366
66.9524,5.62468
66.9651,5.64788
66.9777,5.67335
66.9904,5.7012
67.0031,5.73147
67.0157,5.76419
67.0284,5.79934
67.041,5.83691
67.0537,5.87679
67.0663,5.91886
67.079,5.96289
67.0906,6.00485
67.1022,6.04805
67.1254,6.13717
67.1718,6.31723
67.1845,6.36427
67.1971,6.40941
67.2098,6.45209
67.2224,6.49174
67.2404,6.54181
67.2583,6.58347
67.2699,6.60539
67.2815,6.62302
67.2972,6.63967
67.3128,6.64777
67.32,6.64857
67.3357,6.64393
67.3513,6.63067
67.3629,6.61547
67.3744,6.59591
67.3904,6.56224
67.4063,6.52149
67.4173,6.48982
67.4282,6.45555
67.4502,6.38053
67.4711,6.30304
67.492,6.2223
67.5338,6.0602
67.5538,5.98629
67.5637,5.95078
67.5737,5.9164
67.5836,5.88322
67.5936,5.85141
67.6036,5.82099
67.6135,5.79202
67.6235,5.76451
67.6335,5.73853
67.6434,5.71406
67.6534,5.6911
67.6633,5.66961
67.6733,5.64957
67.6833,5.63094
67.6932,5.61367
67.7047,5.59541
67.7161,5.5788
67.7276,5.56372
67.7391,5.5501
67.7505,5.53781
67.762,5.52676
67.7734,5.51684
67.7849,5.50797
67.7963,5.50004
67.8078,5.49297
67.8192,5.48667
67.8307,5.48106
67.8536,5.47163
67.8765,5.46417
67.8994,5.45824
67.9223,5.45351
67.9452,5.4497
67.9681,5.4466
67.9911,5.44404
68.014,5.44191
68.0598,5.43854
68.0897,5.43682
68.1196,5.43535
68.1793,5.43299
68.2391,5.43115
68.2989,5.42968
68.3586,5.42846
68.4184,5.42744
68.4782,5.42657
68.5379,5.42581
68.6575,5.42456
68.777,5.42355
68.8966,5.42272
69.0161,5.422
69.1555,5.42128
69.295,5.42064
69.5739,5.41954
69.8529,5.41858
70.1318,5.41773
70.4107,5.41693
70.6896,5.41618
71.2474,5.41476
71.8053,5.4134
72.3631,5.41209
73.4788,5.40953
74.3713,5.40753
75.2639,5.40555
77.049,5.40166
78.834,5.39782
80.6191,5.39405
84.1893,5.38661
87.7594,5.37933
90.8196,5.37324
93.8797,5.36724
100,5.35552
107.806,5.34121
111.71,5.33426
115.613,5.32744
119.907,5.32013
124.2,5.31298
128.494,5.30599
132.787,5.29916
136.008,5.29416
137.618,5.29169
139.228,5.28925
140.838,5.28686
142.448,5.28451
143.253,5.28337
144.058,5.28227
144.863,5.28122
145.266,5.28073
145.668,5.28026
146.022,5.2799
146.376,5.27958
146.729,5.27934
147.083,5.2792
147.437,5.27923
147.614,5.27936
147.791,5.27958
147.967,5.27995
148.144,5.28052
148.321,5.28139
148.409,5.28199
148.498,5.28274
148.602,5.28388
148.705,5.28543
148.809,5.2876
148.861,5.28905
148.913,5.29086
148.964,5.29322
149.016,5.29637
149.068,5.30077
149.094,5.30364
149.12,5.3071
149.146,5.31133
149.172,5.31648
149.198,5.32277
149.224,5.33047
149.25,5.3399
149.275,5.3514
149.301,5.3654
149.327,5.38234
149.349,5.39892
149.37,5.41806
149.391,5.44025
149.413,5.46562
149.434,5.4947
149.455,5.52754
149.477,5.56472
149.498,5.60614
149.52,5.65239
149.541,5.70316
149.562,5.759
149.583,5.81932
149.605,5.88457
149.626,5.95387
149.647,6.02712
149.669,6.10382
149.702,6.2302
149.736,6.35993
149.769,6.48992
149.803,6.615
149.821,6.67975
149.84,6.74097
149.858,6.79792
149.876,6.84985
149.898,6.90331
149.919,6.94781
149.936,6.97621
149.952,6.99835
149.969,7.0138
149.986,7.02266
150,7.02501
150.014,7.02229
150.029,7.01455
150.044,7.0007
150.06,6.98126
150.077,6.95413
150.093,6.9212
150.107,6.88979
150.121,6.8551
150.148,6.77633
150.173,6.6972
150.197,6.61146
150.221,6.52092
150.246,6.4274
150.292,6.24985
150.315,6.1627
150.337,6.07848
150.36,5.99737
150.383,5.92048
150.406,5.84837
150.429,5.78172
150.443,5.74397
150.456,5.70847
150.47,5.67494
150.484,5.64338
150.498,5.61355
150.511,5.58586
150.525,5.56002
150.539,5.53599
150.553,5.51354
150.566,5.49293
150.58,5.47392
150.594,5.45642
150.607,5.44025
150.621,5.42555
150.635,5.41211
150.649,5.39986
150.676,5.3785
150.703,5.36101
150.731,5.34665
150.758,5.33502
150.786,5.32555
